videoset,camera,track_id,comment
TIE_2023,20230913T135722/basler_halfres,466,
leusderheide_20230705,visual_halfres/CPFS7_0307,269,
leusderheide_20230705,visual_halfres/CPFS7_0307,284,
leusderheide_20230706,visual_halfres/CPFS7_0329,83,
leusderheide_20230705,visual_halfres/CPFS7_0311,106,
leusderheide_20230706,visual_halfres/CPFS7_0325,34,
leusderheide_20230705,visual_halfres/CPFS7_0310,163,
leusderheide_20230705,visual_halfres/CPFS7_0310,168,
leusderheide_20230705,visual_halfres/CPFS7_0310,178,
leusderheide_20230706,visual_halfres/CPFS7_0328,435,
leusderheide_20230706,visual_halfres/CPFS7_0337,149,
leusderheide_20230706,visual_halfres/CPFS7_0318,435,
TIE_2023,20230913T135722/basler_halfres,2671,
TIE_2023,20230913T135722/basler_halfres,37,
leusderheide_20230706,visual_halfres/CPFS7_0327,18,
leusderheide_20230706,visual_halfres/CPFS7_0327,34,
leusderheide_20230706,visual_halfres/CPFS7_0320,17,
leusderheide_20230706,visual_halfres/CPFS7_0320,9,
bae_cv90_2023,IFV_1000/Strf_1000-EOPS_IR_W,506,
bae_cv90_2023,IFV_500_Night/Strf_500_Natt-EOPS_IR_W,166,
bae_cv90_2023,IFV_500/Strf_500-FR_Day,143,
bae_cv90_2023,IFV_500/Strf_500-EOPS_IR_W,760,
bae_cv90_2023,Civil_1000_Night/Civil_1000_Natt-EOPS_IR_N,98,
bae_cv90_2023,IFV_1000_Night/Strf_1000_Natt-EOPS_IR_W,203,
bae_cv90_2023,IFV_500_Night/Strf_500_Natt-FR_Day,5176,
bae_cv90_2023,Civil_1000/Civil_1000-EOPS_Day_W,324,
bae_cv90_2023,IFV_500/Strf_500-EOPS_IR_W,86,
bae_cv90_2023,Civil_1000_Night/Civil_1000_Natt-EOPS_IR_N,86,
bae_cv90_2023,IFV_500_Night/Strf_500_Natt-EOPS_IR_W,200,
bae_cv90_2023,Civil_1000_Night/Civil_1000_Natt-EOPS_IR_N,84,
bae_cv90_2023,Civil_1000/Civil_1000-EOPS_Day_W,324,
leusderheide_20230705,visual_halfres/CPFS7_0306,102,
leusderheide_20230705,visual_halfres/CPFS7_0306,94,
leusderheide_20230705,visual_halfres/CPFS7_0307,269,
leusderheide_20230705,visual_halfres/CPFS7_0307,284,
leusderheide_20230705,visual_halfres/CPFS7_0307,284,
leusderheide_20230705,visual_halfres/CPFS7_0307,384,
leusderheide_20230705,visual_halfres/CPFS7_0307,269,
leusderheide_20230705,visual_halfres/CPFS7_0307,284,
leusderheide_20230705,visual_halfres/CPFS7_0310,116,
leusderheide_20230705,visual_halfres/CPFS7_0310,163,
leusderheide_20230705,visual_halfres/CPFS7_0310,168,
leusderheide_20230705,visual_halfres/CPFS7_0310,178,
leusderheide_20230705,visual_halfres/CPFS7_0310,168,
leusderheide_20230705,visual_halfres/CPFS7_0310,178,
leusderheide_20230705,visual_halfres/CPFS7_0311,106,
leusderheide_20230705,visual_halfres/CPFS7_0311,115,
leusderheide_20230705,visual_halfres/CPFS7_0311,115,
leusderheide_20230706,visual_halfres/CPFS7_0327,18,
leusderheide_20230706,visual_halfres/CPFS7_0327,34,
leusderheide_20230706,visual_halfres/CPFS7_0327,42,
leusderheide_20230706,visual_halfres/CPFS7_0328,303,
leusderheide_20230706,visual_halfres/CPFS7_0328,435,
TIE_2023,20230913T131221/basler_halfres,0,
TIE_2023,20230913T131221/basler_halfres,2,
TIE_2023,20230913T131221/basler_halfres,0,
TIE_2023,20230913T131221/basler_halfres,91,
TIE_2023,20230913T131221/basler_halfres,195,
TIE_2023,20230913T131221/basler_halfres,342,
TIE_2023,20230913T131619/basler_halfres,3,
TIE_2023,20230913T131619/basler_halfres,5,
TIE_2023,20230913T131619/basler_halfres,159,
TIE_2023,20230913T131944/basler_halfres,163,
TIE_2023,20230913T131944/basler_halfres,3165,
TIE_2023,20230913T131944/basler_halfres,494,
TIE_2023,20230913T131944/basler_halfres,1451,
TIE_2023,20230913T135722/basler_halfres,0,
TIE_2023,20230913T135722/basler_halfres,2153,
TIE_2023,20230913T153743/basler_halfres,1,
TIE_2023,20230913T155925/basler_halfres,0,
TIE_2023,20230913T155925/basler_halfres,0,
TIE_2023,20230913T161508/basler_halfres,1997,
TIE_2023,20230914T140100/basler_halfres,174,
TIE_2023,20230914T153103/basler_halfres,67,
leusderheide_20230706,visual_halfres/CPFS7_0332,185,
leusderheide_20230706,visual_halfres/CPFS7_0361,50,
leusderheide_20230706,visual_halfres/CPFS7_0369,1,
bae_cv90_2023,IFV_1000/Strf_1000-EOPS_Day_W,112,
bae_cv90_2023,IFV_1000/Strf_1000-EOPS_Day_W,131,
bae_cv90_2023,IFV_1000/Strf_1000-EOPS_Day_W,168,
bae_cv90_2023,IFV_1000/Strf_1000-EOPS_IR_W,425,
bae_cv90_2023,Soldier_1000/Soldat_1000-EOPS_Day_W,850,
bae_cv90_2023,Soldier_1000/Soldat_1000-EOPS_Day_W,590,
bae_cv90_2023,Soldier_1000/Soldat_1000-EOPS_Day_W,1169,
bae_cv90_2023,Soldier_1000/Soldat_1000-EOPS_Day_W,1129,
bae_cv90_2023,UAV_1000_Night/UAV_1000_Natt-EOPS_IR_W,28,
bae_cv90_2023,UAV_1000_Night/UAV_1000_Natt-EOPS_IR_W,696,
bae_cv90_2023,UAV_1000/UAV_1000-EOPS_Day_W,5,
bae_cv90_2023,UAV_1000/UAV_1000-EOPS_Day_W,342,
bae_cv90_2023,UAV_1000/UAV_1000-EOPS_IR_W,0,
bae_cv90_2023,Soldier_500/Soldat_500-EOPS_Day_W,584,
bae_cv90_2023,Soldier_500/Soldat_500-EOPS_Day_W,784,
bae_cv90_2023,Soldier_500/Soldat_500-EOPS_IR_W,134,
bae_cv90_2023,UAV_500/UAV_500-EOPS_Day_W,424,
mantis_drone_2023,DJI_202309100220_001/wide_hd,1082,
mantis_drone_2023,DJI_202309100220_001/wide_hd,1297,
mantis_drone_2023,DJI_202309100220_001/wide_hd,1073,
mantis_drone_2023,DJI_202309100220_001/wide_hd,4,
mantis_drone_2023,DJI_202309100220_001/wide_hd,1313,
mantis_drone_2023,DJI_202309100220_001/wide_hd,1476,
mantis_drone_2023,DJI_202309100220_001/wide_hd,1645,
mantis_drone_2023,DJI_202309100220_001/wide_hd,1668,
mantis_drone_2023,DJI_202309100220_001/wide_hd,10458,
mantis_drone_2023,DJI_202309100220_001/wide_hd,11092,
mantis_drone_2023,DJI_202309100220_001/wide_hd,11249,
mantis_drone_2023,DJI_202309100220_001/wide_hd,14573,
mantis_drone_2023,DJI_202309100220_001/wide_hd,14725,
mantis_drone_2023,DJI_202309100220_001/wide_hd,14744,
mantis_drone_2023,DJI_202309100220_001/wide_hd,14740,
mantis_drone_2023,DJI_202309100220_001/wide_hd,1650,
mantis_drone_2023,DJI_202309100220_001/wide_hd,16422,
mantis_drone_2023,DJI_202309100220_001/wide_hd,16587,
mantis_drone_2023,DJI_202309100220_001/wide_hd,17293,
mantis_drone_2023,DJI_202309100220_001/wide_hd,17323,
mantis_drone_2023,DJI_202309100220_001/wide_hd,17529,
rotterdam_harbour_20210308,jai20000_quart,0,
rotterdam_harbour_20210308,jai20000_quart,2118,
rotterdam_harbour_20210308,jai20000_quart,1754,
rotterdam_harbour_20210308,jai20000_quart,2750,
rotterdam_harbour_20210308,jai20000_quart,3003,
rotterdam_harbour_20210308,jai20000_quart,3127,
rotterdam_harbour_20210308,jai20000_quart,3003,
rotterdam_harbour_20210308,jai20000_quart,4634,
rotterdam_harbour_20210308,jai20000_quart,5967,
rotterdam_harbour_20210308,jai20000_quart,6334,
rotterdam_harbour_20210308,jai20000_quart,6580,
rotterdam_harbour_20210308,jai20000_quart,6591,
rotterdam_harbour_20210308,jai20000_quart,7098,
rotterdam_harbour_20210308,jai20000_quart,6591,
rotterdam_harbour_20210308,jai20000_quart,7213,
drone_detection_dataset_2021,V_DRONE_050,0,
drone-tracking,cam1_video/cam1_video,28164,
drone-tracking,cam1_video/cam1_video,28669,
mantis_2023,20231026T103613_crontab_recording/EO_zoom,4110,
mantis_2023,20231026T103613_crontab_recording/EO_zoom,4840,
mantis_2023,20231205T083009_crontab_recording/EO_zoom,733,
mantis_2023,20231207T091409_crontab_recording/EO_zoom,0,
mantis_2023,20231207T091409_crontab_recording/EO_zoom,162,
mantis_2023,20231207T091409_crontab_recording/EO_zoom,346,
mantis_2023,20231207T091409_crontab_recording/EO_zoom,1,
mantis_2023,20231208T110009_crontab_recording/EO_overview,521,
mantis_2023,20231023T103011_crontab_recording/EO_overview,103,
mantis_2023,20231207T090009_crontab_recording_lwir_misty_person/EO_overview,181,
mantis_2023,20231207T090009_crontab_recording_lwir_misty_person/EO_overview,978,
mantis_2023,20231207T090009_crontab_recording_lwir_misty_person/EO_overview,1139,
