detector name,label,iou,bin label,F1,F1 Precision,F1 Recall,F1 Threshold,F1 FPPI,mAP,throughput,relu,precision,size
multi-frame-m,object,0.01,,0.85133114,0.89160401,0.81453921,0.1,0.204733728,0.828877403,24.7021,FALSE,fp16,m
single-frame-m,object,0.01,,0.69287786,0.792772861,0.615340584,0.11,0.332544379,0.640048441,24.7021,FALSE,fp16,m
multi-frame-m-quantized,object,0.01,,0.842493092,0.908609272,0.785346308,0.11,0.163313609,0.821342131,37.6977,FALSE,int8,m
single-frame-m-quantized,object,0.01,,0.375154258,0.666666667,0.26101889,0.01,0.269822485,0.236670148,37.6977,FALSE,int8,m
relu-multi-frame-m,object,0.01,,0.832682487,0.876106195,0.793360046,0.11,0.231952663,0.818526593,26.4986,TRUE,fp16,m
relu-multi-frame-m-quantized,object,0.01,,0.817579771,0.862222222,0.77733257,0.07,0.256804734,0.809401058,43.7555,TRUE,int8,m
multi-frame-s,object,0.01,,0.85550873,0.902222222,0.81339439,0.2,0.182248521,0.847367067,59.6463,FALSE,fp16,s
single-frame-s,object,0.01,,0.643274854,0.806034483,0.535203205,0.19,0.266272189,0.594356423,59.6463,FALSE,fp16,s
relu-multi-frame-s,object,0.01,,0.821996186,0.924231594,0.74012593,0.41,0.125443787,0.817400524,60.8971,TRUE,fp16,s
multi-frame-s-quantized,object,0.01,,0.842975207,0.905921053,0.788208357,0.2,0.169230769,0.83368882,60.8971,FALSE,int8,s
single-frame-s-quantized,object,0.01,,0.614969656,0.748154225,0.522037779,0.04,0.363313609,0.541312224,60.8971,FALSE,int8,s
relu-multi-frame-s-quantized,object,0.01,,0.806571606,0.879648411,0.744705209,0.19,0.210650888,0.80571788,91.4518,TRUE,int8,s
multi-frame-l,object,0.01,,0.866546978,0.907836991,0.828849456,0.15,0.173964497,0.8560806,13.5364,FALSE,fp16,l
single-frame-l,object,0.01,,0.685512367,0.781112738,0.610761305,0.06,0.353846154,0.629968187,13.5364,FALSE,fp16,l
relu-multi-frame-l,object,0.01,,0.871454436,0.921506063,0.826559817,0.17,0.14556213,0.861233453,14.11,TRUE,fp16,l
multi-frame-l-quantized,object,0.01,,0.834963325,0.895737705,0.781911849,0.07,0.18816568,0.809389342,27.6003,FALSE,int8,l
single-frame-l-quantized,object,0.01,,0.665539398,0.81322314,0.563251288,0.02,0.267455621,0.562743624,27.6003,FALSE,int8,l
relu-multi-frame-l-quantized,object,0.01,,0.858166617,0.897003745,0.822552948,0.04,0.195266272,0.839348799,29.4736,TRUE,int8,l
