,model,fps,device,precision
0,yolov8s,0.007153410082234376,gpu,fp16
1,yolov8n,0.02290518737040312,dla0,int8
2,yolov8x,0.005631318494976084,dla0,int8
3,yolov8x,0.0007711849836271129,dla0,fp16
4,yolov8n,0.012486812244286744,dla0,fp16
5,yolov8n,0.09624886122948205,gpu,fp16
6,yolov8s,0.0050144450742267,dla0,fp16
7,yolov8m,0.002171677792558913,dla0,fp16
8,yolov8x,0.010893738684020583,gpu,fp16
9,yolov8l,0.007519488926947741,dla0,int8
10,yolov8s,0.016526398160399254,dla0,int8
11,yolov8m,0.027547781493751297,gpu,fp16
12,yolov8s,0.0165558052824743,dla1,int8
13,yolov8l,0.017497832745525528,gpu,fp16
14,yolov8n,0.02283033133151495,dla1,int8
15,yolov8x,0.005624567359436908,dla1,int8
16,yolov8m,0.010384778414695501,dla1,int8
17,yolov8l,0.007532279692746926,dla1,int8
18,yolov8m,0.0103883072893189,dla0,int8
19,yolov8l,0.0011710378381695544,dla0,fp16
