,recall,precision
0,0.8872366790582404,0.7103851779619698
1,0.8872366790582404,0.7103851779619698
2,0.8872366790582404,0.7103851779619698
3,0.8872366790582404,0.7103851779619698
4,0.8872366790582404,0.7103851779619698
5,0.8872366790582404,0.7103851779619698
6,0.8698884758364313,0.7403746097814776
7,0.855638166047088,0.7565075921908894
8,0.8444857496902106,0.7722159730033745
9,0.8351920693928129,0.7873329459616502
10,0.822180916976456,0.8036253776435045
11,0.8079306071871127,0.8190356919223544
12,0.7973977695167286,0.8276745675848814
13,0.788723667905824,0.8382449246889325
14,0.7788104089219331,0.8457411133467472
15,0.7676579925650557,0.8531228551818806
16,0.7558859975216853,0.8592436974789915
17,0.7465923172242875,0.8648454349388929
18,0.7403965303593556,0.869533527696793
19,0.7329615861214375,0.8760207869339273
20,0.7261462205700124,0.8796087283671934
21,0.7193308550185874,0.8837920489296636
22,0.7143742255266419,0.8884585592563904
23,0.7100371747211895,0.8941176470588236
24,0.7038413878562577,0.8969072164948454
25,0.6988847583643123,0.8983186549239391
26,0.6926889714993805,0.9023596419853539
27,0.6852540272614622,0.9079601990049752
28,0.6759603469640645,0.9103214890016921
29,0.6716232961586122,0.9159519725557461
30,0.6648079306071871,0.9253075571177505
31,0.6579925650557621,0.9268510258697591
32,0.6524163568773235,0.9272237196765498
33,0.6462205700123915,0.9315068493150684
34,0.6387856257744734,0.9365671641791045
35,0.6319702602230484,0.9401709401709402
36,0.6245353159851301,0.9458937198067633
37,0.6177199504337051,0.9469548133595285
38,0.6121437422552665,0.9491017964071856
39,0.6065675340768277,0.9543610547667343
40,0.6009913258983891,0.9569230769230769
41,0.587360594795539,0.9578059071729957
42,0.5774473358116481,0.9592711682743837
43,0.5650557620817844,0.9605695509309967
44,0.5594795539033457,0.9620958751393534
45,0.5539033457249071,0.9628796400449944
46,0.5390334572490706,0.964203233256351
47,0.5254027261462205,0.966785290628707
48,0.5192069392812887,0.9686746987951808
49,0.5055762081784386,0.9702970297029703
50,0.49318463444857497,0.9744897959183674
51,0.4826517967781908,0.9744897959183674
52,0.46964064436183395,0.9745308310991957
53,0.4566294919454771,0.976551724137931
54,0.44052044609665425,0.977110157367668
55,0.4281288723667906,0.9807976366322009
56,0.41016109045848825,0.9807976366322009
57,0.3872366790582404,0.9821717990275527
58,0.37236679058240396,0.9848484848484849
59,0.35997521685254025,0.9848484848484849
60,0.3382899628252788,0.9887640449438202
61,0.31970260223048325,0.9887640449438202
62,0.30111524163568776,0.9887640449438202
63,0.2862453531598513,0.9887640449438202
64,0.2701363073110285,0.9887640449438202
65,0.2496902106567534,0.9923664122137404
66,0.23605947955390336,0.9923664122137404
67,0.218091697645601,0.9941348973607038
68,0.201363073110285,0.9941348973607038
69,0.1821561338289963,0.9941348973607038
70,0.16294919454770757,0.9941348973607038
71,0.14002478314745972,0.9941348973607038
72,0.12453531598513011,0.9941348973607038
73,0.10408921933085502,0.9941348973607038
74,0.08736059479553904,0.9941348973607038
75,0.06815365551425032,0.9941348973607038
76,0.05328376703841388,0.9941348973607038
77,0.036555142503097895,1.0
78,0.030359355638166045,1.0
79,0.01858736059479554,1.0
80,0.012391573729863693,1.0
81,0.006195786864931847,1.0
82,0.0055762081784386614,1.0
83,0.004337050805452293,1.0
84,0.0030978934324659233,1.0
85,0.0018587360594795538,1.0
86,0.0018587360594795538,1.0
87,0.0018587360594795538,1.0
88,0.0012391573729863693,1.0
