model,metric,value
combined_colortyolo8m_balanced_02022024,   metrics/precision(B),0.87761
combined_colortyolo8m_balanced_02022024,      metrics/recall(B),0.68931
combined_colortyolo8m_balanced_02022024,       metrics/mAP50(B),0.7582
combined_colortyolo8m_balanced_02022024,    metrics/mAP50-95(B),0.43514
combined_combinedtyolo8m_balanced_02022024,   metrics/precision(B),0.85936
combined_combinedtyolo8m_balanced_02022024,      metrics/recall(B),0.67147
combined_combinedtyolo8m_balanced_02022024,       metrics/mAP50(B),0.7328
combined_combinedtyolo8m_balanced_02022024,    metrics/mAP50-95(B),0.41343
combined_manyframeyolo8m_balanced_02022024,   metrics/precision(B),0.87986
combined_manyframeyolo8m_balanced_02022024,      metrics/recall(B),0.66946
combined_manyframeyolo8m_balanced_02022024,       metrics/mAP50(B),0.74954
combined_manyframeyolo8m_balanced_02022024,    metrics/mAP50-95(B),0.42956
combined_noisetyolo8m_balanced_02022024,   metrics/precision(B),0.87812
combined_noisetyolo8m_balanced_02022024,      metrics/recall(B),0.65497
combined_noisetyolo8m_balanced_02022024,       metrics/mAP50(B),0.74142
combined_noisetyolo8m_balanced_02022024,    metrics/mAP50-95(B),0.42589
combined_tyolo8m_balanced_02022024,   metrics/precision(B),0.906
combined_tyolo8m_balanced_02022024,      metrics/recall(B),0.67885
combined_tyolo8m_balanced_02022024,       metrics/mAP50(B),0.76337
combined_tyolo8m_balanced_02022024,    metrics/mAP50-95(B),0.45149
combined_tyolo8m_balanced_02022024_air_to_ground_06022024,   metrics/precision(B),0.61726
combined_tyolo8m_balanced_02022024_air_to_ground_06022024,      metrics/recall(B),0.47103
combined_tyolo8m_balanced_02022024_air_to_ground_06022024,       metrics/mAP50(B),0.46379
combined_tyolo8m_balanced_02022024_air_to_ground_06022024,    metrics/mAP50-95(B),0.23824
combined_tyolo8m_balanced_02022024_ground_06022024,   metrics/precision(B),0.81903
combined_tyolo8m_balanced_02022024_ground_06022024,      metrics/recall(B),0.63748
combined_tyolo8m_balanced_02022024_ground_06022024,       metrics/mAP50(B),0.73465
combined_tyolo8m_balanced_02022024_ground_06022024,    metrics/mAP50-95(B),0.44282
combined_tyolo8m_balanced_02022024_more_hard_training_06022024,   metrics/precision(B),0.87687
combined_tyolo8m_balanced_02022024_more_hard_training_06022024,      metrics/recall(B),0.69481
combined_tyolo8m_balanced_02022024_more_hard_training_06022024,       metrics/mAP50(B),0.77078
combined_tyolo8m_balanced_02022024_more_hard_training_06022024,    metrics/mAP50-95(B),0.44739
combined_tyolo8m_balanced_02022024_naval_06022024,   metrics/precision(B),0.62801
combined_tyolo8m_balanced_02022024_naval_06022024,      metrics/recall(B),0.38661
combined_tyolo8m_balanced_02022024_naval_06022024,       metrics/mAP50(B),0.42314
combined_tyolo8m_balanced_02022024_naval_06022024,    metrics/mAP50-95(B),0.22035
combined_tyolo8m_cropped_02022024,   metrics/precision(B),0.82903
combined_tyolo8m_cropped_02022024,      metrics/recall(B),0.66933
combined_tyolo8m_cropped_02022024,       metrics/mAP50(B),0.75841
combined_tyolo8m_cropped_02022024,    metrics/mAP50-95(B),0.45117
combined_tyolo8m_no_augmentations_02022024,   metrics/precision(B),0.8953
combined_tyolo8m_no_augmentations_02022024,      metrics/recall(B),0.7013
combined_tyolo8m_no_augmentations_02022024,       metrics/mAP50(B),0.78387
combined_tyolo8m_no_augmentations_02022024,    metrics/mAP50-95(B),0.46697
combined_tyolo8m_no_bbox_clip_02022024,   metrics/precision(B),0.62171
combined_tyolo8m_no_bbox_clip_02022024,      metrics/recall(B),0.27993
combined_tyolo8m_no_bbox_clip_02022024,       metrics/mAP50(B),0.2845
combined_tyolo8m_no_bbox_clip_02022024,    metrics/mAP50-95(B),0.11065
combined_tyolo8m_regular_02022024,   metrics/precision(B),0.8106
combined_tyolo8m_regular_02022024,      metrics/recall(B),0.58142
combined_tyolo8m_regular_02022024,       metrics/mAP50(B),0.68047
combined_tyolo8m_regular_02022024,    metrics/mAP50-95(B),0.38488
combined_yolo8m_balanced_02022024,   metrics/precision(B),0.75394
combined_yolo8m_balanced_02022024,      metrics/recall(B),0.5045
combined_yolo8m_balanced_02022024,       metrics/mAP50(B),0.57071
combined_yolo8m_balanced_02022024,    metrics/mAP50-95(B),0.32285
